alpha,time,n_features,cost
0.5,0.004746913909912109,2,-0.04061176867544305
0.75,0.0035429000854492188,2,-0.08077315931848118
0.875,0.003462076187133789,5,-0.17617870162124838
0.9375,0.003421783447265625,9,-0.1444542684919499
0.96875,0.0034399032592773438,12,-0.2546241534807135
0.984375,0.003448963165283203,17,-0.5530918211875069
0.986328125,0.0033941268920898438,20,-0.5696915579232702
0.98828125,0.0034058094024658203,21,-0.6395695853570559
0.9921875,0.003392934799194336,24,-0.7190913725634883
